,a/brisbane/10/2007,a/fujian/411/2002,a/indiana/8/2011,a/moscow/10/1999,a/perth/16/2009,a/swine/arkansas/a01840240/2014,a/swine/california/a01459016/2015,a/swine/illinois/a00843193/2014,a/swine/illinois/a01201606/2011,a/swine/illinois/a01241066/2012,a/swine/illinois/a01241469/2012,a/swine/illinois/a01327868/2012,a/swine/illinois/a01327903/2012,a/swine/illinois/a01462475/2015,a/swine/illinois/a01475273/2014,a/swine/illinois/a01475803/2014,a/swine/illinois/a01489882/2015,a/swine/illinois/a01493027/2014,a/swine/illinois/a01502036/2014,a/swine/illinois/a01503899/2014,a/swine/illinois/a01555180/2014,a/swine/illinois/a01555638/2015,a/swine/illinois/a01728585/2015,a/swine/illinois/a01840351/2015,a/swine/illinois/a02076652/2015,a/swine/indiana/a00968373/2012,a/swine/indiana/a01202866/2011,a/swine/indiana/a01260268/2013,a/swine/indiana/a01260466/2014,a/swine/indiana/a01260591/2014,a/swine/indiana/a01729045/2016,a/swine/indiana/a01812162/2016,a/swine/iowa/a01049750/2011,a/swine/iowa/a01202613/2011,a/swine/iowa/a01202889/2011,a/swine/iowa/a01203121/2012,a/swine/iowa/a01203196/2012,a/swine/iowa/a01290671/2013,a/swine/iowa/a01300195/2012,a/swine/iowa/a01432500/2013,a/swine/iowa/a01432770/2013,a/swine/iowa/a01432826/2013,a/swine/iowa/a01480656/2014,a/swine/iowa/a01501685/2014,a/swine/iowa/a01729543/2016,a/swine/iowa/a01730108/2016,a/swine/iowa/a01733626/2016,a/swine/michigan/a01203498/2012,a/swine/michigan/a01259000/2012,a/swine/michigan/a01432375/2013,a/swine/minnesota/a01049936/2011,a/swine/minnesota/a01125993/2012,a/swine/minnesota/a01277201/2012,a/swine/minnesota/a01280592/2013,a/swine/minnesota/a01300213/2012,a/swine/minnesota/a01327922/2012,a/swine/minnesota/a01365586/2013,a/swine/minnesota/a01366992/2014,a/swine/minnesota/a01432544/2013,a/swine/minnesota/a01471950/2015,a/swine/minnesota/a01480518/2014,a/swine/minnesota/a01847477/2015,a/swine/missouri/a01410819/2014,a/swine/missouri/a01476459/2012,a/swine/nebraska/a01241171/2012,a/swine/nebraska/a01271549/2012,a/swine/nebraska/a01478775/2015,a/swine/nebraska/a01493501/2014,a/swine/nebraska/a01567651/2015,a/swine/north_carolina/a01410118/2014,a/swine/north_carolina/a01410709/2014,a/swine/north_carolina/a01432566/2013,a/swine/north_carolina/a01476722/2014,a/swine/north_carolina/a01730588/2016,a/swine/north_carolina/a01732564/2016,a/swine/oklahoma/a01776961/2016,a/swine/pennsylvania/a01076777/2010,a/swine/texas/4199-1/1998,a/swine/texas/a01049914/2011,a/swine/wyoming/a01381202/2013,a/swine/wyoming/a01397400/2013,a/swine/wyoming/a01444562/2013,a/swine/wyoming/a01444566/2013,a/swine/wyoming/a01445305/2013,a/sydney/5/1997,a/turkey/ohio/313053/2004,a/victoria/361/2011,a/wisconsin/67/2005,a/wuhan/359/1995,a/swine/iowa/10980/2019|h3n2|ia|2019-02-12|cluster_iva_Random Forest,a/swine/iowa/14739/2019|h3n2|ia|2019-02-25|cluster_iva_Random Forest,a/swine/iowa/22754/2019|h3n2|ia|2019-03-25|cluster_iva_Random Forest,a/swine/iowa/26753/2019|h3n2|ia|2019-04-08|cluster_iva_Random Forest,a/swine/iowa/28744/2019|h3n2|ia|2019-04-15|cluster_iva_Random Forest,a/swine/iowa/32524/2019|h3n2|ia|2019-04-29|2010.1_Random Forest,a/swine/iowa/7190/2019|h3n2|ia|2019-01-28|cluster_iva_Random Forest,a/swine/kansas/10948/2019|h3n2|ks|2019-02-11|cluster_iva_Random Forest,a/swine/nebraska/14763/2019|h3n2|ne|2019-02-25|cluster_iva_Random Forest,a/swine/nebraska/23072/2019|h3n2|ne|2019-03-26|cluster_iva_Random Forest,a/swine/nebraska/24808/2019|h3n2|ne|2019-04-01|cluster_iva_Random Forest,a/swine/nebraska/27508/2019|h3n2|ne|2019-04-10|cluster_iva_Random Forest,a/swine/nebraska/28001/2019|h3n2|ne|2019-04-11|cluster_iva_Random Forest,a/swine/oklahoma/26250/2019|h3n2|ok|2019-04-05|cluster_iva_Random Forest,a/swine/south_dakota/32322/2019|h3n2|sd|2019-04-26|cluster_iva_Random Forest,a/swine/iowa/10980/2019|h3n2|ia|2019-02-12|cluster_iva_AdaBoosted,a/swine/iowa/14739/2019|h3n2|ia|2019-02-25|cluster_iva_AdaBoosted,a/swine/iowa/22754/2019|h3n2|ia|2019-03-25|cluster_iva_AdaBoosted,a/swine/iowa/26753/2019|h3n2|ia|2019-04-08|cluster_iva_AdaBoosted,a/swine/iowa/28744/2019|h3n2|ia|2019-04-15|cluster_iva_AdaBoosted,a/swine/iowa/32524/2019|h3n2|ia|2019-04-29|2010.1_AdaBoosted,a/swine/iowa/7190/2019|h3n2|ia|2019-01-28|cluster_iva_AdaBoosted,a/swine/kansas/10948/2019|h3n2|ks|2019-02-11|cluster_iva_AdaBoosted,a/swine/nebraska/14763/2019|h3n2|ne|2019-02-25|cluster_iva_AdaBoosted,a/swine/nebraska/23072/2019|h3n2|ne|2019-03-26|cluster_iva_AdaBoosted,a/swine/nebraska/24808/2019|h3n2|ne|2019-04-01|cluster_iva_AdaBoosted,a/swine/nebraska/27508/2019|h3n2|ne|2019-04-10|cluster_iva_AdaBoosted,a/swine/nebraska/28001/2019|h3n2|ne|2019-04-11|cluster_iva_AdaBoosted,a/swine/oklahoma/26250/2019|h3n2|ok|2019-04-05|cluster_iva_AdaBoosted,a/swine/south_dakota/32322/2019|h3n2|sd|2019-04-26|cluster_iva_AdaBoosted
a/brisbane/10/2007,0.0,1.83273017,9.851075841,6.4375049010000005,4.098758655,8.044717381,7.970581046,9.121244031,9.361869514,9.787106763999999,9.763915597,11.76234673,9.201371298,10.72410679,8.076988842,7.695655288999999,7.787352867,11.58981241,8.081310407,8.628529147,9.15091389,10.63573809,11.18815883,11.21084456,8.942372831,8.710244300000001,9.56751004,10.57452827,9.117193257,8.23416146,6.649053837,7.792764861,9.323874064,8.906941818,9.802436086,10.12183449,9.606951081,8.118723491,7.599304269,8.355819577,8.320140634,8.850439277000001,9.28568045,8.757251764,10.58332043,7.352986146,8.686355269,10.15185861,10.15197684,9.658109018,11.6017829,8.462270847000001,10.13618038,8.658026066,9.555346755,8.526129001000001,6.812926577000001,8.126394154,8.557590471000001,10.89420275,9.111217469,8.365918182,3.7525358619999998,3.018692047,10.25420387,9.308166194,10.06412487,9.630964857999999,9.395488835,9.170248767999999,8.909383316,7.7443680520000004,9.731692688999999,10.69251071,7.264929651,10.79951742,9.574163077,9.558596088,9.797807635,8.619701004,7.736350026,7.828035132999999,8.163255318,8.151208698,6.800651257999999,10.64842921,3.958826855,1.680797242,7.990090466,9.555167699808004,6.593212471618007,9.920281704275997,9.449061315274006,8.663897621448013,2.970839924355197,9.555167699808004,9.449061315274006,8.65945762807801,9.985407394616008,9.985407394616008,9.985407394616008,9.985407394616008,9.999687187167996,9.956074259829995,9.731692688999999,7.2180697610000015,10.58332043,9.802436086,9.117193256999998,3.018692047,9.731692688999999,9.802436086,9.117193256999998,10.151901602727273,10.151901602727273,10.151901602727273,10.151901602727273,10.583320430000008,10.12183449
a/fujian/411/2002,1.83273017,0.0,8.872474429,5.069710133,4.232587983,7.277292307000001,7.218542533,7.715721427,8.736602554,8.349602611,8.550866762,10.15562251,8.028598599,9.104606693,6.692450107999999,6.1090605060000005,6.2401387779999995,10.01717283,6.4396927360000005,7.391805405,8.324075144,9.619168854,9.546231375,9.973459838,8.114491347000001,7.531405257,8.147984167,8.963911934,7.768643915,7.528448262,5.124815439,6.312580111,7.876468768,7.799023903999999,8.859838497,8.654956091,8.06965863,7.228620642999999,6.8128075820000005,6.601117082000001,7.604674085,8.023651862000001,7.748025861,7.325371795,9.071425218,5.833879719,7.707474111,8.882238097,8.982463779,8.265411011,10.21298272,7.489342483,8.789759185,7.695836027,8.810749063,7.779929927,5.326637568,7.091556993999999,7.687135802999999,9.65676111,8.163047287000001,7.6898529270000004,2.298810174,2.404677796,8.810957846,7.616910454,8.551634697,8.622769475,8.404982748,7.669863249,7.455977272,5.97763863,8.20188537,9.643630792,5.815334031,9.660687552999999,8.486341972,7.767849738,8.340658407000001,7.448807771,6.765746287000001,6.670664107,6.794656371,6.810390121,5.147636886,9.35187825,4.218274064,1.433903201,6.2176867179999995,8.485968537748517,6.381953261384012,8.526849150560517,8.192043459200002,7.361790748300009,3.3024013249379944,8.485968537748517,8.192043459200002,7.4530954254040065,8.543108640529992,8.537258980253991,8.543108640529992,8.543108640529992,8.547107015604016,8.638654243107997,8.982463779,6.769968681,9.071425218,8.474732562,7.669863249,2.879539579,8.982463779,8.474732562,7.669863249,8.551634697,8.551634697,8.551634697,8.551634697,8.982463779,8.622769475
a/indiana/8/2011,9.851075841,8.872474429,0.0,6.48134602,6.83514811,2.24044752,2.400567029,3.159747688,2.766873145,3.595827866,1.5774549619999998,5.6310309279999995,3.215325685,6.034724421,3.8707077869999997,8.349013692,5.786181472000001,6.05492861,5.8915872,2.76959464,1.333857543,1.273398671,6.495648912999999,2.47730208,1.6731638530000001,2.603824036,7.59956185,5.384871261,3.0739318160000004,2.257257426,7.464327589,8.694403957999999,3.666875713,1.26501614,0.703473383,3.6480428110000003,7.7886439439999995,2.2850166830000003,3.4947378039999997,6.750184402,1.98204337,1.6998743809999999,3.9304898219999997,3.266159358,4.343362009,8.286668903999999,1.4739348680000002,2.243237356,1.277554475,6.866611881,3.714656997,2.1240097540000002,4.005213951,3.4372810210000004,1.698472988,2.107368205,7.97203779,1.918889448,2.916026647,3.3570741710000003,1.822814203,2.089871034,7.257824205,7.693006211,5.282702947,7.340575159,4.282828299999999,1.938301539,1.682097692,3.616942325,3.3825100480000003,6.698864727999999,4.245835726,1.062372963,8.483602167,1.649754795,2.073576184,7.049921648,3.7822548210000004,1.817627993,2.17148729,2.775028397,3.588300556,3.509733093,7.469656281000001,2.248531124,7.4078998810000005,8.301841987000001,6.952767162000001,1.7332622309708594,3.2801752111340017,1.862555236452858,3.2421283417533364,4.712385082711671,7.110576735865995,1.7332622309708594,3.2421283417533364,4.698765452919672,1.697721094264855,1.827615873804856,1.697721094264855,1.697721094264855,1.8286243169628575,2.0107242450259992,1.649754795,2.9293695,1.680797242,2.5027223640000003,4.057227889,7.257824205,1.649754795,2.5027223640000003,4.133683914,1.6065765680000001,1.6075221380000002,1.6065765680000001,1.6065765680000001,1.6497547950000002,1.8893448519999998
a/moscow/10/1999,6.4375049010000005,5.069710133,6.48134602,0.0,6.609136529,6.182874675,6.259469581,4.263333417,7.9400540379999995,6.242505513999999,6.071201551000001,6.206634317000001,4.05485397,4.801335123,5.470703605,6.953245617,5.8402108010000005,5.570777347000001,5.502691706,5.900747197,5.962564179,6.587696386,5.248610231000001,6.4510731439999995,5.6204502970000005,6.133986749,8.467246953,4.932671891,4.104498373,6.452053172,6.250563424,7.57611157,5.897754045,5.43212833,6.855559386,6.2190850189999995,8.085960321,6.187367086,6.685417632,3.372472526,6.04926308,6.682694569,4.639299812,4.157451184,5.120987543,7.0212403420000005,5.134142716,5.449836795,6.396205598,8.303689573,6.36659103,4.623892507,4.438678045,7.247726824,7.359579684,6.6825687270000005,6.714719037999999,4.681625081,7.078676852999999,5.557861873999999,5.179411746,6.171639712,4.828915469,5.946431016,4.103009066,3.566740048,4.595434773,5.327554412,5.315338939,4.6585585830000005,4.237618797,4.794476193,4.399708733,7.226619887999999,7.302769248,6.440593249,6.932966577,5.5151900629999995,6.26111419,4.776838266,5.227448346,3.712226602,3.184437198,3.191732937,1.886835425,6.453182035,7.1105191020000005,4.918823688,5.0989978339999995,5.496272699651993,4.266986894226002,5.493072357053991,5.263005955488001,4.801275751159997,5.56518313076272,5.496272699651993,5.263005955488001,4.709817879781996,5.655307947828004,5.6481137527760055,5.655307947828004,5.655307947828004,5.572221545581993,5.945559790736008,6.0712015510000015,4.585080427,6.0712015510000015,5.120987543,4.794476193,5.946431016,6.0712015510000015,5.120987543,4.794476193,6.133986749,6.133986749,6.133986749,6.133986749,6.133986749,6.396205598
a/perth/16/2009,4.098758655,4.232587983,6.83514811,6.609136529,0.0,4.682861494,4.563739451,7.33535191,5.607023043,7.5858942439999995,7.103263322999999,10.40970312,7.409867658,9.874851587,5.930907186000001,7.4542710660000004,6.410241047,10.53549875,6.947462849,6.0048730070000005,6.18032445,7.83931477,10.40408358,8.806904862,6.109860916000001,5.933303745,8.125381578999999,9.459116303,7.329967196,4.776651975,6.101106703999999,7.479644167999999,7.203134414,6.203621077,6.608884259,8.003183242,8.486144754,4.865945991999999,4.1609039910000005,8.258544869,5.070452488,5.472450071,7.682667044,6.99331404,9.054506839,7.035643455,6.013840338,7.905377441000001,7.394451866,7.887519794,9.574239915,6.037103561,8.601285049,5.434623246,6.040498727999999,5.052129399,6.415253037,5.572068645,5.159700885,8.912113037000001,6.570697357999999,5.075311424,3.7410467780000003,2.531401579,9.234173393999999,9.366043068,8.625569526,7.187376737999999,6.862643833,7.441746926,7.1834297000000005,7.310390704,8.318467126,7.640594403,6.944052067,8.17855086,6.515607592,9.047507388,7.653596918,6.199253804,4.836889318,5.792091254,6.645268827000001,6.594951936,7.476107961,8.147110814,0.7339500290000001,3.361017344,7.600612977000001,7.434657460074023,5.966106251558005,7.468689571572022,7.430606229388014,6.962582622896005,2.702318400023197,7.434657460074023,7.430606229388014,6.961475615000002,7.665124915970027,7.646131956854028,7.665124915970027,7.665124915970027,7.559899130294024,7.661610054528014,7.640594403000001,6.13478026,7.682667044,7.394451866,7.441746926,2.488965523,7.640594403000001,7.394451866,7.409867658,7.861057002000001,7.83931477,7.861057002000001,7.861057002000001,7.682667044,7.83931477
a/swine/arkansas/a01840240/2014,8.044717381,7.277292307000001,2.24044752,6.182874675,4.682861494,0.0,0.187564648,4.08351287,1.7658909,4.21774577,2.8806591860000004,7.074824344,4.239674024,7.147732323,3.4710688739999997,7.534777603999999,5.1860433960000005,7.45187052,5.543205716,2.6066688890000003,2.01680767,3.399872975,7.662380081,4.538048686000001,2.213180914,2.370833203,7.044176579,6.52755941,4.0638396839999995,0.364836971,6.409083849,7.764453716,4.061884409,2.041206605,1.935432775,4.524522885,7.378601249,0.766704657,1.630094911,6.923552873999999,0.967006017,0.847911746,4.6841689419999994,3.923734525,5.700931884,7.333495567999999,2.071479996,3.9176028360000004,2.986798976,6.39637082,5.584605333,2.576502638,5.342970675,2.416546867,1.533938034,0.5434630220000001,6.895398358,1.958173125,1.671809233,5.115714366000001,2.7899174589999998,1.085888725,5.703235852000001,5.79520758,6.438017677,7.8165087820000005,5.4643219279999995,3.3206467230000003,2.9459091269999997,4.350225925,4.104050601,6.377322388,5.27755449,2.9985257260000004,7.438564164,3.786900992,2.36380761,7.327375609,4.370554572,2.450134673,1.093756768,2.894361656,4.017937363,3.941155308,7.207127965,3.929695484,5.228411989,6.62468762,6.663712112000001,3.033773129988389,3.992997447094007,3.0416529086823867,3.8779919655200015,5.199247265026004,6.013761855979495,3.033773129988389,3.8779919655200015,5.180314801966004,3.2819636786440096,3.2652372365940088,3.2819636786440096,3.2819636786440096,3.018481987505724,3.2530757120360065,2.9985257260000004,3.6494180939999996,2.9985257260000004,3.4710688739999997,4.783041549,5.79520758,2.9985257260000004,3.4710688739999997,4.674181226,2.9985257260000004,2.9985257260000004,2.9985257260000004,2.9985257260000004,2.9985257260000004,2.9985257260000004
a/swine/california/a01459016/2015,7.970581046,7.218542533,2.400567029,6.259469581,4.563739451,0.187564648,0.0,4.209966937,1.714772639,4.264520813,2.995662034,7.197680701,4.406577264,7.271062069,3.462875752,7.471807697999999,5.145638975,7.590141922999999,5.528464546,2.622813767,2.201344287,3.5747228960000004,7.7852108079999995,4.699542243,2.396687406,2.380072655,6.969720252999999,6.646508101,4.205439269,0.417728768,6.334473353,7.685365739,4.100116693,2.185288345,2.061760354,4.590218415,7.323330219,0.735273805,1.465720488,6.9879674320000005,1.124423908,0.920883825,4.776580238999999,4.032164805,5.833369293,7.258641186,2.251061467,4.074306946,3.115763207,6.3260357570000005,5.73497943,2.748452397,5.5026363,2.316850063,1.6065765680000001,0.5633832289999999,6.81454726,2.112086341,1.567667404,5.290906764,2.9744740239999996,1.2274701940000001,5.629168367999999,5.687939567999999,6.58583094,7.908594258,5.593462975,3.50626192,3.13146526,4.443544405,4.2119658310000005,6.378962102999999,5.397570377,3.124528784,7.353913953999999,3.9531186689999998,2.394310368,7.36558165,4.413713499,2.592998518,1.186441921,3.027606595,4.138598531,4.065784771000001,7.2625592,4.051534266,5.096015554,6.572410693999999,6.663379532,3.0651071016814537,4.071651153708,3.2132926305397405,3.928145349536004,5.220205504748004,6.031264472527495,3.0651071016814537,3.928145349536004,5.2080041077620045,3.3425816041600074,3.326465792332007,3.3425816041600074,3.3425816041600074,3.206609498153077,3.3207888373320014,3.115763207,3.6494180939999996,3.314012105,3.534529285,4.674181226,5.688541417000001,3.115763207,3.534529285,4.674181226,3.121097068,3.115763207,3.121097068,3.121097068,3.314012105,3.121097068
a/swine/illinois/a00843193/2014,9.121244031,7.715721427,3.159747688,4.263333417,7.33535191,4.08351287,4.209966937,0.0,5.39567768,2.625142872,2.193621865,3.199769564,1.98508558,3.0699141410000004,3.020732603,6.668678227999999,4.38535264,3.421288618,4.059501573,2.8563357999999996,3.513542648,3.17266228,3.580409478,2.523156091,3.414662836,3.086192509,6.663271715,2.46708249,0.5668623770000001,4.348091896000001,6.063751825,7.2299972320000006,2.5331768919999997,2.213123458,3.5705826060000003,2.412508495,6.446691284,3.822468536,4.783041549,3.720439996,4.042431496,4.020986377,1.213835049,0.5339869429999999,1.744038879,6.7824981079999995,2.6085351,1.480149427,2.484986622,6.145182991,2.500132573,2.602164423,1.8790215890000002,4.635034383,4.566351892,4.326571972,6.586058706,2.388130576,4.532639233,2.456213244,2.8095594310000003,4.221089655,6.174857403,7.218069761000001,2.671089967,4.205800291,1.40001797,2.660926496,2.653385468,1.051369381,0.52705256,4.347612698,1.21448712,3.458792426,7.102116554,2.661160215,3.522845748,4.3298110460000006,2.709961092,1.675753166,3.0971350789999996,1.897619348,1.164025604,1.236992795,4.781661595,2.2365026869999998,7.869466135,7.515602512999999,4.594936133,3.456072735592308,4.417969699868854,3.321605719456041,4.191111320933991,3.9147609443319977,6.901303955924,3.456072735592308,4.191111320933991,3.9096025804779972,3.7234521680739983,3.723462877127998,3.7234521680739983,3.7234521680739983,3.27545124664234,3.104080950159994,3.1957619538333337,3.575645517,3.104397301,3.937621867,3.325519192,7.066302649,3.1957619538333337,3.937621867,3.199769564,3.458792426,3.458792426,3.458792426,3.458792426,3.086192509,3.036921343
a/swine/illinois/a01201606/2011,9.361869514,8.736602554,2.766873145,7.9400540379999995,5.607023043,1.7658909,1.714772639,5.39567768,0.0,4.948431482,3.616315386,8.063297742,5.609596849,8.435410135,4.514481173,8.544080717,6.194345208,8.618741767000001,6.6454194410000005,3.487414602,2.940936705,3.91492803,8.91501299,5.189045695,3.299725734,3.145932738,7.527488032000001,7.742850551,5.415794452,1.5326701219999999,7.468709402000001,8.665250047,4.917348306,3.20081588,2.167865762,5.275833133,8.03004233,1.9291838590000001,2.212676393,8.446562119,2.175205338,1.3907962459999998,5.8973688410000005,5.276846469,6.819104024,8.311140924,3.3893449860000002,4.889105244,3.555476619,6.795022806,6.363749441,3.997113034,6.603335046000001,2.5117059630000003,1.118974317,1.2592922309999999,7.901452158,3.504198212,1.781956313,6.101341447,3.966351289,2.158231542,7.079520779,6.970865694,7.801899989,9.356934746,6.689992025,4.383333081,4.041730222,5.561336315,5.425772895,7.684307054,6.541853414,3.085275755,8.369878691,4.3836991780000005,2.5913351280000003,8.538239524,5.107817633,3.809293092,2.754225988,4.514836221,5.575744731,5.506087878,8.912273239,4.524670342,6.049924647999999,8.075479166000001,7.932212801,3.5674923501547453,4.136349591536281,3.607674615275507,4.090909370010118,5.9966279220659935,6.902539375263008,3.5674923501547453,4.090909370010118,5.932654205275995,3.3196888593607423,3.3561431157727424,3.3196888593607423,3.3196888593607423,3.5634487631773752,3.388770412682404,3.540881244,4.041730222,3.555476619,3.616315386,6.101341447,6.970865694,3.540881244,3.616315386,5.934635484,3.487414602,3.487414602,3.487414602,3.487414602,3.555476619,3.555476619
a/swine/illinois/a01241066/2012,9.787106763999999,8.349602611,3.595827866,6.242505513999999,7.5858942439999995,4.21774577,4.264520813,2.625142872,4.948431482,0.0,2.048028385,3.946498024,4.452304095,4.595754798,1.803340497,5.533696696,3.0674626289999996,4.949150878,2.959020981,1.72979626,4.556915503,4.153816173,4.942661903,3.56124517,4.695865559,1.977641005,4.561703382,3.7775995030000002,3.137982144,4.497464668,5.098409846,5.934635484,0.479156204,2.820283588,3.539900597,0.5624743560000001,4.52517532,3.5755419760000002,4.145363695,4.740339993,4.67467605,3.890670215,1.966725914,2.3503875219999997,3.257601679,5.6297890729999995,3.881392134,2.980705709,2.483587696,3.896897249,3.567077808,4.302629616,4.30406005,3.282708673,4.473067787,4.267942279,5.536578888999999,3.622679787,3.615418718,4.46484271,4.450545231,4.865574283,6.297530505,7.26957212,4.994591517,5.698411266,3.2234997310000004,4.426504715,4.27881286,1.816525855,2.294047082,3.982627431,2.9741783639999997,3.318124578,5.908745794,3.6030209369999997,2.398014847,3.998789177,0.188172687,2.8840439289999997,3.5212369839999997,3.7436962210000004,3.480454393,3.575426658,6.264062739,2.105103899,7.953756656,8.374662982,4.109072536,3.4556297371840046,3.5498689628220017,3.430560803628004,3.780889351099992,4.477463193914,7.085810212055999,3.4556297371840046,3.780889351099992,4.342247476883995,3.248894971793997,3.3108783158099975,3.248894971793997,3.248894971793997,3.1738551298800064,3.5641639891419987,3.6030209369999997,3.59190324,3.6030209369999997,3.741819923,3.859123948,7.276452024,3.6030209369999997,3.741819923,3.7074677869999997,3.318124578,3.3181245780000004,3.318124578,3.318124578,3.5595355385000005,3.355501788
