"","matrix.nrow...nrow.hiData..","A.BANGKOK.01.1979","A.BEIJING.32.1992","A.FUJIAN.411.2002","A.WISCONSIN.67.2005","A.BRISBANE.10.2007","A.PERTH.16.2009","A.VICTORIA.361.2011","A.SWITZERLAND.9715293.2013","A.HONGKONG.4801.2014","A.SWINE.NEWYORK.A01104005.2011","A.SWINE.IOWA.A01480656.2014","A.SWINE.MISSOURI.A01410819.2014","A.WUHAN.359.1995","A.SWINE.TEXAS.4199.2.1998","A.SWINE.MINNESOTA.02782.2009","A.SWINE.INDIANA.A01729045.2016","A.SWINE.ALBERTA.SD0038.2014","A.SWINE.ALBERTA.SD0049.2014","A.SWINE.SASKATCHEWAN.SD0059.2014","A.SWINE.SASKATCHEWAN.SD0065.2014","A.SWINE.SASKATCHEWAN.SD0069.2015","A.VICTORIA.3.1975","A.PHILIPPINES.2.1982","A.SICHUAN.02.1987","A.PORTCHALMERS.1.1973","A.TURKEY.OHIO.313053.2004","A.SWINE.INDIANA.A01202866.2011","A.TEXAS.1.1977","A.LENINGRAD.360.1986","A.SHANGHAI.11.1987","A.BEIJING.353.1989","A.SYDNEY.5.1997","A.MOSCOW.10.1999","A.SWINE.TEXAS.4199.1.1998","A.SWINE.COLORADO.23619.1999","A.SWINE.MINNESOTA.1146.2006","A.SWINE.IOWA.1700.2007","A.SWINE.MINNESOTA.2782.2009","A.SWINE.ILLINOIS.2970.2009","A.INDIANA.8.2011","A.SWINE.INDIANA.A00968373.2012","A.SWINE.ILLINOIS.A01201606.2011","A.SWINE.IOWA.A01202613.2011","A.SWINE.IOWA.A01049750.2011","A.SWINE.TEXAS.A01049914.2011","A.SWINE.MICHIGAN.A01432375.2013","A.SWINE.IOWA.A01432500.2013","A.SWINE.MINNESOTA.A01432544.2013","A.SWINE.MINNESOTA.A01280592.2013","A.SWINE.WYOMING.A01444562.2013"
"1","A/BANGKOK/01/1979",0,NA,6.6667565918848,7.81538329581354,7.03809592468451,6.58571370877816,7.92461458947681,7.16691625156997,5.58496250072116,4.2744809324849,4.77362406474506,6.96928372501598,4.83289001416474,NA,NA,NA,NA,NA,NA,NA,NA,4.73696559416621,1.67807190511264,2.41503749927884,4.58496250072116,NA,NA,2.26303440583379,2.26303440583379,3,4,5.93663793900257,5.4998458870832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A/BEIJING/32/1992",4.77214959078454,0,6.90122184552183,NA,NA,7.58571370877817,7.50957709019796,7.26645192512089,6,3.58583978566208,5.05373198393779,NA,2.24792751344359,NA,NA,NA,NA,NA,NA,NA,NA,6.32192809488736,5,0.415037499278843,NA,NA,NA,5.58496250072116,2,1,3.73696559416621,7.52160043972373,6.4998458870832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","A/FUJIAN/411/2002",NA,3.28540221886225,0,2.69229654483248,1.86217218262076,3.64554695829535,3.83715174822647,2.81406358348771,5.58496250072116,NA,NA,0.787953960301419,4.24792751344359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3.81427944542364,NA,NA,NA,NA,8.28606264233036,NA,NA,7.32192809488736,NA,7.31927364144138,NA,NA,NA,NA,NA,NA,NA
"4","A/WISCONSIN/67/2005",5.00661484442157,3.33786963875638,1.9621612442524,0,0.195117092896188,1.58571370877817,1.97975614366927,2.81406358348771,4.58496250072116,NA,NA,2.12200261854562,0.895074845361323,NA,NA,NA,NA,NA,NA,NA,NA,4.73696559416621,6.41503749927884,4,4.58496250072116,NA,NA,4,4,2,5.73696559416621,NA,3.31397934177187,NA,NA,NA,7.59938156063412,8.7714894695006,NA,NA,NA,NA,7.08480838780436,NA,NA,NA,NA,NA,NA,NA
"5","A/BRISBANE/10/2007",NA,3.77082904603249,4.06387218316638,1.77756183037857,0,3.58571370877816,3.66659825840964,4.9342554947797,4.58496250072116,NA,NA,5.13278245729886,2.71187461320338,NA,NA,NA,NA,NA,NA,NA,NA,5.32192809488736,6.41503749927884,4.41503749927884,4.58496250072116,NA,NA,5.58496250072116,4,4.58496250072116,5.32192809488736,NA,5.4998458870832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","A/PERTH/16/2009",NA,4.5077946401987,6.03448837638529,3.87521654533072,1.03809592468451,0,0.593100445760248,2.42995065740377,4,NA,NA,5.45471055218622,5.3474631869945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4.58496250072116,NA,6.32192809488736,NA,6.59938156063412,NA,NA,NA,7.08480838780436,NA,NA,6.58496250072116,3,4.09953567355091,4.26207823985984,0.498560854841127,5.77214959078454,NA,NA,NA,NA,NA
"7","A/VICTORIA/361/2011",5.2867227636143,NA,6.40372218605101,3.92785802507195,1.18322754142428,0.492956567858313,0,2.16691625156997,4.58496250072116,2.58058406021058,NA,4.78795396030142,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.32192809488736,7,5,NA,NA,NA,5.58496250072116,4.58496250072116,4.58496250072116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.98564470702293,4.09953567355091,5.70629676455063,1.75207248655641,NA,NA,NA,5.41503749927884,5,NA
"8","A/SWITZERLAND/9715293/2013",NA,NA,6.40372218605101,5.03927930774038,2.26594633389997,1.00075120805701,2.25785799759201,0,4.58496250072116,4.876516946565,NA,NA,4.63125615299509,NA,7.69074632193725,5.40006916103433,NA,NA,NA,NA,NA,NA,NA,NA,5.09953567355091,NA,8.49984588708321,5,3.58496250072116,4,5.32192809488736,6.52160043972373,5.4998458870832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","A/HONGKONG/4801/2014",5.77214959078454,NA,4.6667565918848,5.23042079509238,2.03809592468451,2.58571370877817,3.471755624763,2.83301551501654,0,5.6838718686226,NA,5.53823390774851,5.3474631869945,7.27146302790437,7.17617314910749,6.59121064838633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","A/SWINE/NEWYORK/A01104005/2011",NA,2.8833037752909,NA,NA,NA,NA,6.87730887469845,NA,NA,0,3.21723071622067,NA,5.1548181090521,4.10153802646206,1.97650080427113,5.04689013216252,NA,NA,NA,0.741983668932831,1.71771770957293,NA,5.67807190511264,4.23446525363702,NA,2.34464817138744,3.81614943277669,4.20645087746743,NA,2.53185116426159,NA,NA,NA,4.37574114132156,NA,NA,1.49984588708321,2.43878153585999,NA,1.74198366893283,1.08687123218026,4.09953567355091,2.8502304280198,4.25583890442959,2.93420634889352,NA,4.41503749927884,NA,NA,NA
"11","A/SWINE/IOWA/A01480656/2014",4.92415268422959,NA,5.98868468677217,NA,NA,NA,NA,NA,NA,1.04724724807895,0,NA,2.76250068627334,2.7385227395315,3.37397993216567,2.54535999680837,2.25738784269265,NA,1.4541758931858,2.26303440583379,2.44890095114513,NA,NA,NA,NA,3.17218097538268,3.81334535989999,NA,3.58496250072116,3.20645087746743,4.15200309344505,5.30436972350306,NA,3.62989319111678,NA,NA,2.49984588708321,3.7075551637465,5,3.04270445095424,2.15200309344505,NA,4.4998458870832,2.83007499855769,3.02798849521413,NA,2.22258028448417,6.67807190511264,2,-0.420381341196638
"12","A/SWINE/MISSOURI/A01476459/2012",5.77214959078454,4.28540221886225,4.89065260381164,4.10940539413102,2.03809592468451,1.00075120805701,2.00019794128328,2.16691625156997,3,NA,NA,NA,4.56985560833095,4.83850362062827,6.59121064838633,NA,NA,NA,NA,NA,NA,6.32192809488736,7,5,NA,NA,7.91488338636205,NA,NA,NA,NA,6.52160043972373,5.4998458870832,NA,NA,NA,4.4998458870832,7.7714894695006,NA,6.58496250072116,7.32192809488736,NA,5.4998458870832,NA,4.18718709006339,NA,7,5.41503749927884,7,NA
"13","A/SWINE/MISSOURI/A01410819/2014",NA,NA,3,NA,NA,3.3339946161722,5.77622274958414,4.32561399758903,7,NA,NA,0,NA,5.32660458209684,6.59121064838633,5.59121064838633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4998458870832,4.58496250072116,NA,NA,6.32192809488736,NA,NA,5.18652696877944,NA,NA,3.762880292917,5.60156446805829,NA,6.58496250072116,7,4.58496250072116,3.91488338636205,6,3.45022149589718,NA,4,5,6,NA
"14","A/SWINE/OHIO/16TOSU4788/2016",NA,3.77082904603249,4.89065260381164,6.04984854945056,3.45313342396336,3.81488466274567,4.50957709019796,3.98104970625864,6,NA,NA,0.869748051465066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58496250072116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","A/SWINE/OHIO/A01354299/2017",4.77214959078454,3.77082904603249,5.6667565918848,5.64545829437123,2.45313342396336,3.00075120805701,2.84282049831316,3.16691625156997,5.58496250072116,5.19201877229293,NA,NA,5.3474631869945,3.77321216037655,4.59121064838633,5.85424505422013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","A/SWINE/OKLAHOMA/A02218157/2017",NA,NA,5.6667565918848,4.77975938608282,2.03809592468451,2.00075120805701,3.50957709019796,1.83420831792937,3.58496250072116,NA,NA,4.97573874715328,NA,6.00842862207058,6.17617314910749,5.85424505422013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","A/WUHAN/359/1995",4.77214959078454,2.73520513630177,6.63113268215408,NA,7.00247201495379,6.82017896241519,NA,NA,7.58496250072116,4.36194377373524,3.53915881110803,NA,0,2.24909521487592,5.17617314910749,4.50941655722269,NA,NA,NA,3.58496250072116,NA,5.73696559416621,NA,NA,5.09953567355091,3.41503749927884,5.00159501955538,4,2.58496250072116,3,3,3.93663793900257,5.08480838780436,2.50002644159622,NA,NA,3.81427944542364,4.83602972169531,NA,6.32192809488736,6.37706964907982,4.58496250072116,5.4998458870832,3.72201525270023,3.26118767150716,NA,NA,NA,NA,NA
"18","A/SWINE/TEXAS/4199/2/1998",NA,1.77082904603249,NA,7.81538329581354,NA,NA,NA,NA,6.58496250072116,4.59640902737226,3.86108690599539,8.45471055218622,1.24792751344359,0,3.405344103075,4.405344103075,2.35049724708413,2.93545974780529,1.77610398807316,2.58496250072116,3.18586654531133,NA,NA,2.29956028185891,NA,4.41503749927884,7.4998458870832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","A/SWINE/MINNESOTA/02782/2009",NA,3.77082904603249,NA,NA,NA,NA,NA,NA,NA,2.02566038587081,NA,NA,4.83289001416474,4.33600328009908,0,5.66521122983011,NA,NA,NA,1.31443355834044,0.77082904603249,NA,6.51457317282976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","A/SWINE/INDIANA/A01729045/2016",NA,4.77082904603249,7.08179409116365,NA,4.71616782979715,NA,5.85422526158541,5.24091683301375,6,4.2744809324849,3.21723071622067,6.96928372501598,3.98489310760979,3.77321216037655,5.66521122983011,0,NA,2.45003292063505,NA,2.81942775435818,NA,NA,NA,NA,NA,2.83007499855769,3.49984588708321,NA,NA,NA,NA,5.52160043972373,NA,4.18652696877944,NA,NA,NA,6.18652696877944,NA,6.58496250072116,NA,NA,NA,NA,4.18718709006339,NA,5,NA,NA,2.41503749927884
"21","A/SWINE/NEBRASKA/A01567651/2015",NA,NA,NA,NA,5.45313342396336,NA,7.02415026302772,5.75187875229113,NA,1.99038491112328,4.95419631038688,NA,5.1548181090521,4.68650052718322,4.35344300116297,6.08871030785715,NA,NA,NA,1.08671163319333,2.28540221886225,4.32192809488736,6,2,NA,5,6.91488338636205,NA,NA,NA,NA,NA,NA,5.18652696877944,NA,NA,NA,5.18652696877944,NA,3.58496250072116,NA,NA,NA,NA,4.18718709006339,NA,4.41503749927884,NA,NA,3.41503749927884
"22","A/SWINE/ALBERTA/SD0038/2014",NA,NA,NA,NA,NA,NA,NA,6.75187875229113,NA,5.36194377373524,3.7215355535966,5.45471055218622,5.3474631869945,4.68650052718322,6.17617314910749,3.23835798030407,0,1.93545974780529,NA,3.81942775435818,NA,5.32192809488736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","A/SWINE/ALBERTA/SD0049/2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3474631869945,6.27146302790437,5.2407134013022,4.405344103075,NA,0,NA,3.58496250072116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
