,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a01728784|2016-01-04|cluster_iva,a/wuhan/359/1995,3.454388714733536,5.0,3.5192917094087446,3.991226808047427
1,a01728784|2016-01-04|cluster_iva,a/sydney/5/1997,5.411755485893431,5.7,6.295153884113569,5.802303123335666
2,a01728784|2016-01-04|cluster_iva,a/moscow/10/1999,6.644388714733549,7.0,6.900887865371475,6.848425526701675
3,a01728784|2016-01-04|cluster_iva,a/fujian/411/2002,6.183181818181821,7.0,6.421132329484691,6.534771382555505
4,a01728784|2016-01-04|cluster_iva,a/wisconsin/67/2005,7.476969696969701,8.7,8.973493449249103,8.383487715406268
5,a01728784|2016-01-04|cluster_iva,a/brisbane/10/2007,7.106039707419024,8.7,6.836845601562491,7.54762843632717
6,a01728784|2016-01-04|cluster_iva,a/perth/16/2009,6.575684430512024,7.5,5.916781475752196,6.664155302088073
7,a01728784|2016-01-04|cluster_iva,a/victoria/361/2011,6.71060606060607,8.7,6.525271280924205,7.311959113843424
8,a01728784|2016-01-04|cluster_iva,a/swine/texas/4199-1/1998,3.6141065830720884,5.0,4.512902462496241,4.37566968185611
9,a01728784|2016-01-04|cluster_iva,a/swine/colorado/23619/1999,5.639158829676068,6.4,4.678867757138181,5.572675528938084
10,a01728784|2016-01-04|cluster_iva,a/swine/minnesota/1146/2006,4.73414315569488,5.2,5.468213666898048,5.134118940864309
11,a01728784|2016-01-04|cluster_iva,a/swine/iowa/1700/2007,4.6258620689655165,4.878260869565218,4.267902765215995,4.5906752345822435
12,a01728784|2016-01-04|cluster_iva,a/swine/minnesota/2782/2009,4.463166144200626,4.8,3.817783986057123,4.3603167100859155
13,a01728784|2016-01-04|cluster_iva,a/swine/illinois/02970/2009,5.03704284221526,6.3,5.003367954988253,5.446803599067837
14,a01728784|2016-01-04|cluster_iva,a/indiana/8/2011,4.395481415136585,4.6,3.9396764408450733,4.311719285327219
15,a01728784|2016-01-04|cluster_iva,a/swine/newyork/a01104005/2011,4.058762501865948,3.8,2.2413479171559563,3.3667034730073016
16,a01728784|2016-01-04|cluster_iva,a/swine/indiana/a00968373/2012,4.1042692939244665,3.9,2.10960380993088,3.3712910346184484
17,a01728784|2016-01-04|cluster_iva,a/swine/indiana/a01202866/2011,4.536206896551728,5.0,4.06700272526339,4.534403207271706
18,a01728784|2016-01-04|cluster_iva,a/swine/illinois/a01201606/2011,4.702612330198533,6.3,4.6384459539060785,5.213686094701537
19,a01728784|2016-01-04|cluster_iva,a/swine/iowa/a01202613/2011,4.7654649947753365,6.0,4.643900222947465,5.136455072574267
20,a01728784|2016-01-04|cluster_iva,a/swine/iowa/a01049750/2011,4.4123301985370995,5.285185185185185,3.3783013053162256,4.358605563012836
21,a01728784|2016-01-04|cluster_iva,a/swine/texas/a01049914/2011,4.424137931034488,5.285185185185185,3.489631191208567,4.399651435809413
22,a01728784|2016-01-04|cluster_iva,a/swine/michigan/a01432375/2013,4.681974921630095,6.2,3.0960894844991644,4.659354802043087
23,a01728784|2016-01-04|cluster_iva,a/swine/iowa/a01432500/2013,3.535658307210028,3.4,3.9797941584247916,3.6384841552116067
24,a01728784|2016-01-04|cluster_iva,a/swine/minnesota/a01432544/2013,5.1335945663531835,6.3,5.26656843391422,5.566721000089134
25,a01728784|2016-01-04|cluster_iva,a/swine/minnesota/a01280592/2013,4.542241379310342,5.0,4.108385461902861,4.550208947071067
26,a01728784|2016-01-04|cluster_iva,a/turkey/ohio/313053/2004,4.5436259143155695,5.0,4.962138484354293,4.835254799556621
27,a01728784|2016-01-04|cluster_iva,a/swine/iowa/a01480656/2014,2.414853709508881,2.6,0.7561563395278278,1.9236700163455696
28,a01728784|2016-01-04|cluster_iva,a/swine/wyoming/a01444562/2013,2.7238244514106587,2.2,1.2942197161970668,2.0726813892025753
29,a01728784|2016-01-04|cluster_iva,a/swine/pennsylvania/a01076777/2010,4.544911180773247,5.5,2.519754222395115,4.1882218010561205
