,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
0,a/beijing/32/1992,a/bangkok/01/1979,4.451163606508437,4.0,3.5339418044281934,3.9950351369788772
1,a/beijing/32/1992,a/beijing/32/1992,0.01082318873274955,0.0,0.03413392323909166,0.014985703990613738
2,a/beijing/32/1992,a/fujian/411/2002,6.261713688610254,5.902941176470586,6.685524913460015,6.283393259513618
3,a/beijing/32/1992,a/wisconsin/67/2005,5.992463054187202,6.7,4.0412188485185965,5.577893967568599
4,a/beijing/32/1992,a/brisbane/10/2007,6.535193312434696,6.5,5.665760153233218,6.2336511552226375
5,a/beijing/32/1992,a/perth/16/2009,6.355937453351241,6.6599999999999975,5.422827295102847,6.146254916151363
6,a/beijing/32/1992,a/swine/newyork/a01104005/2011,4.274619719361112,3.2,4.066725675179163,3.8471151315134247
7,a/beijing/32/1992,a/swine/missouri/a01476459/2012,5.696159874608159,5.7,3.5112682961795567,4.9691427235959065
8,a/beijing/32/1992,a/swine/ohio/16tosu4788/2016,5.034438722197347,5.2,4.752690175408898,4.995709632535415
9,a/beijing/32/1992,a/swine/ohio/a01354299/2017,5.0650626959247695,5.7,4.01746323982697,4.9275086452505805
10,a/beijing/32/1992,a/wuhan/359/1995,3.616303552769072,3.18,2.6948367546025467,3.1637134357905388
11,a/beijing/32/1992,a/swine/texas/4199-2/1998,3.7765002239140135,5.0,0.9454611508656344,3.240653791593216
12,a/beijing/32/1992,a/swine/minnesota/02782/2009,4.071667413046732,4.0,3.6249390429348463,3.8988688186605263
13,a/beijing/32/1992,a/swine/indiana/a01729045/2016,4.770495969547701,5.366666666666667,5.073020736151786,5.070061124122051
14,a/beijing/32/1992,a/swine/denmark/15164-1-p1/2014,5.866755485893424,6.0555555555555545,3.5815890444233767,5.167966695290786
15,a/beijing/32/1992,a/swine/mexico/8630565/2011,4.285405657560841,3.7,3.040689886871523,3.675365181477455
16,a/beijing/32/1992,a/swine/mexico/8630459/2011,4.013113897596666,3.2000000000000006,2.637141798546466,3.2834185653810444
17,a/beijing/32/1992,a/swine/mexico/9890611/2013,4.047937005523223,4.0,2.45638900596554,3.501442003829588
18,a/beijing/32/1992,a/swine/mexico/84706352130/2015,4.463897596656223,4.0,3.2154434034574697,3.893113666704565
19,a/beijing/32/1992,a/swine/mexico/985778/2013,4.384535005224667,4.0,2.907420332723828,3.763985112649498
20,a/beijing/32/1992,a/moscow/10/1999,3.7867233915509786,3.4,5.42324139630662,4.203321595952533
21,a/beijing/32/1992,a/shanghai/11/1987,2.005959098372892,1.6454545454545455,1.5012131758238676,1.7175422732171015
22,a/beijing/32/1992,a/sichuan/02/1987,2.4211106135244083,2.5,1.9945058025470408,2.305205472023816
23,a/beijing/32/1992,a/portchalmers/1/1973,5.111511419614871,5.466666666666666,4.4703860740105945,5.01618805343071
24,a/beijing/32/1992,a/swine/michigan/a01104095/2016,5.076165099268551,5.2,4.817017317651368,5.0310608056399735
25,a/beijing/32/1992,a/beijing/353/1989,3.0198693834900734,2.5,2.820830830616856,2.78023340470231
26,a/beijing/32/1992,a/sydney/5/1997,4.5717711598746105,4.5,4.568694332910302,4.546821830928304
27,a/beijing/32/1992,a/texas/1/1977,4.551730108971491,4.5,3.75071664556502,4.2674822515121695
28,a/beijing/32/1992,a/philippines/2/1982,4.182481713688612,3.0,4.335058922642135,3.8391802121102487
29,a/beijing/32/1992,a/leningrad/360/1986,3.387825048514705,2.9,2.221016216908035,2.83628042180758
30,a/beijing/32/1992,a/fujian/411/2002,6.261713688610254,5.902941176470586,6.685524913460015,6.283393259513618
31,a/beijing/32/1992,a/perth/16/2009,6.355937453351241,6.6599999999999975,5.422827295102847,6.146254916151363
32,a/beijing/32/1992,a/victoria/361/2011,6.345035826242727,5.707692307692307,6.055808151869982,6.036178761935005
33,a/beijing/32/1992,a/switzerland/9715293/2013,5.740715778474405,5.0,5.09136564121454,5.277360473229648
34,a/beijing/32/1992,a/hongkong/4801/2014,6.331653853809033,6.58,5.707942381530204,6.206532078446412
35,a/beijing/32/1992,a/swine/newyork/a01104005/2011,4.274619719361112,3.2,4.066725675179163,3.8471151315134247
36,a/beijing/32/1992,a/swine/iowa/a01480656/2014,5.026661442006281,5.0,5.228194864052664,5.084952102019648
37,a/beijing/32/1992,a/wuhan/359/1995,3.616303552769072,3.18,2.6948367546025467,3.1637134357905388
38,a/beijing/32/1992,a/philippines/2/1982,4.182481713688612,3.0,4.335058922642135,3.8391802121102487
39,a/beijing/32/1992,a/sichuan/02/1987,2.4211106135244083,2.5,1.9945058025470408,2.305205472023816
40,a/beijing/32/1992,a/texas/1/1977,4.551730108971491,4.5,3.75071664556502,4.2674822515121695
41,a/beijing/32/1992,a/leningrad/360/1986,3.387825048514705,2.9,2.221016216908035,2.83628042180758
42,a/beijing/32/1992,a/shanghai/11/1987,2.005959098372892,1.6454545454545455,1.5012131758238676,1.7175422732171015
43,a/beijing/32/1992,a/beijing/353/1989,3.0198693834900734,2.5,2.820830830616856,2.78023340470231
44,a/beijing/32/1992,a/sydney/5/1997,4.5717711598746105,4.5,4.568694332910302,4.546821830928304
45,a/beijing/32/1992,a/moscow/10/1999,3.7867233915509786,3.4,5.42324139630662,4.203321595952533
