seq	rf	ada	mlp	ens	rfstd	adastd	mlpstd	ensstd
a/bangkok/01/1979	0.7163	0.7953	0.9109	0.7738	0.885	0.9269	0.9958	0.9008
a/beijing/32/1992	1.1804	1.2243	1.0485	1.0825	1.3214	1.4698	1.2827	1.2495
a/fujian/411/2002	1.2215	1.2165	1.1295	1.1427	1.4198	1.4511	1.3886	1.3486
a/wisconsin/67/2005	1.3076	1.3057	1.2313	1.2639	1.5609	1.5915	1.5252	1.5214
a/brisbane/10/2007	1.2591	1.3672	1.1381	1.2404	1.4612	1.6587	1.3931	1.4491
a/perth/16/2009	1.043	1.2556	0.9564	1.0102	1.3165	1.4996	1.2487	1.2938
a/victoria/361/2011	1.0548	1.0544	1.2034	1.0711	1.2245	1.2051	1.2757	1.1997
a/switzerland/9715293/2013	0.976	1.0547	1.0344	0.9439	1.0922	1.2167	1.3027	1.1256
a/hongkong/4801/2014	1.2651	1.3654	1.388	1.3157	1.144	1.2692	1.3463	1.1848
a/swine/newyork/a01104005/2011	1.3632	1.3882	1.2702	1.3107	1.2142	1.3055	1.3523	1.2421
a/swine/iowa/a01480656/2014	0.8928	0.9344	1.1499	0.9089	1.092	1.168	1.2259	1.0792
a/swine/missouri/a01476459/2012	0.9982	1.1652	1.183	1.0344	1.1468	1.3526	1.1376	1.1187
a/swine/missouri/a01410819/2014	1.7267	1.6251	1.706	1.6481	1.8747	1.8226	1.7769	1.779
a/swine/ohio/16tosu4788/2016	0.6434	0.42	0.4872	0.4638	0.7439	0.5307	0.5583	0.5514
a/swine/ohio/a01354299/2017	0.9283	1.1642	0.5111	0.7782	0.9592	1.1747	0.7223	0.8458
a/swine/oklahoma/a02218157/2017	0.9156	0.8742	0.6955	0.7214	1.0294	1.0337	0.8641	0.9081
a/wuhan/359/1995	1.0993	1.0549	1.2398	1.0426	1.2062	1.2405	1.3274	1.1789
a/swine/texas/4199-2/1998	1.1574	1.1723	1.1723	1.1311	1.3029	1.3184	1.2618	1.233
a/swine/minnesota/02782/2009	0.6337	0.7681	0.6492	0.6632	0.7779	0.9434	0.8013	0.7739
a/swine/indiana/a01729045/2016	0.6207	0.6341	0.5577	0.5598	0.8284	0.8385	0.6956	0.7155
a/swine/nebraska/a01567651/2015	0.8623	0.9825	0.9146	0.8743	1.1462	1.2844	1.044	1.0963
a/swine/alberta/sd0038/2014	0.7728	0.8921	0.8279	0.7702	0.9641	1.1388	0.9474	0.9594
a/swine/alberta/sd0049/2014	0.8731	0.7742	0.833	0.6999	1.0	1.1255	1.1703	1.048
a/swine/saskatchewan/sd0059/2014	1.3133	1.4271	1.5087	1.3834	1.0648	1.2063	0.8211	0.9299
a/swine/saskatchewan/sd0065/2014	1.4984	1.5242	1.2209	1.3722	1.3665	1.3367	1.4518	1.3448
a/swine/saskatchewan/sd0069/2015	1.1349	1.3332	0.9069	1.1059	1.2419	1.4123	1.0879	1.2038
a/swine/denmark/15164-1-p1/2014	1.1085	1.075	0.9008	0.9592	1.2715	1.1519	1.1051	1.1046
a/swine/mexico/8630565/2011	0.404	0.3027	0.732	0.435	0.4717	0.4384	0.5769	0.4266
a/swine/mexico/8630459/2011	0.8193	1.0096	0.7842	0.8645	0.9215	1.2293	0.9506	1.0101
a/swine/mexico/9890611/2013	1.0696	1.2556	1.1196	1.143	1.2399	1.4353	1.0139	1.2164
a/swine/mexico/84706352130/2015	0.5966	0.4111	0.2858	0.3821	0.6763	0.6585	0.2616	0.4696
a/swine/mexico/985778/2013	0.6186	0.4033	0.5054	0.4664	0.7404	0.6117	0.6114	0.603
a/swine/mexico/avx36/2012	0.9299	1.1898	1.0322	0.9983	1.1813	1.3401	1.2197	1.1922
a/swine/mexico/avx57/2013	1.0275	0.81	1.2842	1.0111	0.8246	0.6906	0.7909	0.677
a/swine/mexico/avx53/2013	0.7173	0.7764	1.0234	0.6772	0.7169	0.834	1.228	0.8281
a/turkey/ohio/313053/2004	1.1377	1.2638	1.1431	1.1612	1.3581	1.5059	1.3799	1.3795
a/swine/mexico/avx26/2012	0.8381	0.761	0.9071	0.7996	1.0386	0.9454	0.8985	0.9217
a/swine/mexico/avx15/2012	1.0806	1.0818	1.1258	1.0417	1.2053	1.3081	1.4327	1.2316
a/moscow/10/1999	1.2096	1.2344	1.2708	1.1879	1.1287	1.1668	1.1262	1.0591
a/shanghai/11/1987	1.5625	1.5717	1.4611	1.5308	1.7244	1.742	1.7077	1.7156
a/sichuan/02/1987	1.1936	1.2462	1.1865	1.1719	1.4821	1.5443	1.4391	1.4688
a/portchalmers/1/1973	1.0142	1.1175	1.3409	1.1099	1.1648	1.2551	1.2978	1.1929
a/swine/michigan/a01104095/2016	0.825	0.6083	0.711	0.679	0.8488	0.7112	0.8384	0.7609
a/beijing/353/1989	1.1281	1.0912	1.2246	1.1091	1.2551	1.2827	1.4182	1.2699
a/sydney/5/1997	1.1807	1.1621	1.2561	1.1352	1.3562	1.4072	1.4085	1.3474
a/texas/1/1977	0.9481	0.9023	0.9723	0.9252	1.1205	1.0835	1.1256	1.0736
a/philippines/2/1982	1.2629	1.2233	1.3316	1.261	1.4027	1.3687	1.4705	1.3704
a/leningrad/360/1986	1.1568	1.1872	1.2066	1.1781	1.3208	1.3576	1.3765	1.3349
