seq	rf	ada	mlp	ens
a/bangkok/01/1979.a/bangkok/01/1979	0.0	0.0	0.1	0.0
a/bangkok/01/1979.a/beijing/32/1992	1.0	1.0	0.9	1.0
a/bangkok/01/1979.a/wisconsin/67/2005	1.0	0.9	0.9	0.9
a/bangkok/01/1979.a/victoria/361/2011	0.6	0.4	0.9	0.6
a/bangkok/01/1979.a/hongkong/4801/2014	0.2	0.2	0.8	0.4
a/bangkok/01/1979.a/swine/iowa/a01480656/2014	0.8	0.8	1.2	0.9
a/bangkok/01/1979.a/swine/missouri/a01476459/2012	0.1	0.1	0.4	0.1
a/bangkok/01/1979.a/swine/ohio/a01354299/2017	1.3	1.6	2.0	1.6
a/bangkok/01/1979.a/wuhan/359/1995	0.5	0.4	0.3	0.4
a/bangkok/01/1979.a/moscow/10/1999	0.7	0.8	0.8	0.8
a/bangkok/01/1979.a/shanghai/11/1987	1.4	1.1	1.5	1.3
a/bangkok/01/1979.a/sichuan/02/1987	3.0	2.7	2.7	2.8
a/bangkok/01/1979.a/portchalmers/1/1973	0.4	0.4	0.3	0.4
a/bangkok/01/1979.a/beijing/353/1989	1.0	1.2	1.3	1.2
a/bangkok/01/1979.a/sydney/5/1997	1.0	1.1	0.9	1.0
a/bangkok/01/1979.a/texas/1/1977	1.0	0.9	0.7	0.9
a/bangkok/01/1979.a/philippines/2/1982	0.7	0.8	0.3	0.6
a/bangkok/01/1979.a/leningrad/360/1986	0.6	0.3	0.0	0.3
a/beijing/32/1992.a/beijing/32/1992	0.0	0.0	0.0	0.0
a/beijing/32/1992.a/fujian/411/2002	1.8	1.8	1.7	1.8
a/beijing/32/1992.a/wisconsin/67/2005	2.0	1.9	1.9	2.0
a/beijing/32/1992.a/brisbane/10/2007	1.4	1.5	1.3	1.4
a/beijing/32/1992.a/perth/16/2009	0.7	0.8	0.6	0.7
a/beijing/32/1992.a/swine/newyork/a01104005/2011	2.3	2.4	2.2	2.3
a/beijing/32/1992.a/swine/missouri/a01476459/2012	1.5	1.3	1.5	1.4
a/beijing/32/1992.a/swine/ohio/16tosu4788/2016	1.9	1.9	2.5	2.1
a/beijing/32/1992.a/swine/ohio/a01354299/2017	2.7	2.5	2.7	2.6
a/beijing/32/1992.a/wuhan/359/1995	0.5	0.4	0.1	0.2
a/beijing/32/1992.a/swine/texas/4199-2/1998	2.0	2.0	1.6	1.9
a/beijing/32/1992.a/swine/minnesota/02782/2009	0.4	0.3	0.4	0.4
a/beijing/32/1992.a/swine/indiana/a01729045/2016	0.6	0.5	0.8	0.6
a/beijing/32/1992.a/swine/denmark/15164-1-p1/2014	1.1	0.9	1.4	1.2
