seq	rf	ada	mlp	ens	rfstd	adastd	mlpstd	ensstd
a/bangkok/01/1979	0.8385	0.8496	0.8625	0.8461	0.9795	0.9866	1.0262	0.9876
a/beijing/32/1992	1.332	1.338	1.3719	1.3418	1.5058	1.5169	1.5366	1.5129
a/fujian/411/2002	1.3485	1.4137	1.3969	1.3804	1.3298	1.3799	1.3088	1.3308
a/wisconsin/67/2005	1.3908	1.4462	1.3916	1.4048	1.5208	1.5446	1.5169	1.5209
a/brisbane/10/2007	1.2553	1.2715	1.2367	1.2506	1.4476	1.4612	1.4077	1.4313
a/perth/16/2009	1.2924	1.2962	1.2708	1.2817	1.5733	1.5528	1.548	1.553
a/victoria/361/2011	1.1719	1.2034	1.12	1.1569	1.3984	1.4179	1.3169	1.3696
a/switzerland/9715293/2013	1.0983	1.0957	1.0691	1.0718	1.2622	1.2617	1.2477	1.2385
a/hongkong/4801/2014	1.0416	1.0073	1.0721	1.0373	1.0736	1.0179	1.0782	1.0468
a/swine/newyork/a01104005/2011	1.5314	1.536	1.5188	1.5179	1.5688	1.5768	1.483	1.5324
a/swine/iowa/a01480656/2014	1.2515	1.2333	1.3048	1.2569	1.5101	1.4928	1.5509	1.5112
a/swine/missouri/a01476459/2012	1.2007	1.1689	1.1571	1.1717	1.3585	1.3388	1.266	1.316
a/swine/missouri/a01410819/2014	1.5407	1.5452	1.469	1.5153	1.7185	1.7252	1.7023	1.709
a/swine/ohio/16tosu4788/2016	1.057	1.0869	1.1834	1.1064	1.3637	1.3391	1.4158	1.367
a/swine/ohio/a01354299/2017	1.4775	1.409	1.472	1.4528	1.3301	1.2858	1.2574	1.2791
a/swine/oklahoma/a02218157/2017	1.0972	1.1522	0.979	1.0761	1.2412	1.2634	1.1322	1.2023
a/wuhan/359/1995	1.1796	1.194	1.0959	1.1493	1.4425	1.4364	1.3441	1.3917
a/swine/texas/4199-2/1998	1.5934	1.5733	1.591	1.5815	1.53	1.5112	1.475	1.4986
a/swine/minnesota/02782/2009	1.0274	1.0513	1.0393	1.0346	1.2277	1.2557	1.2388	1.2307
a/swine/indiana/a01729045/2016	1.034	1.0652	1.0701	1.0451	1.2584	1.2937	1.2787	1.2703
a/swine/nebraska/a01567651/2015	1.2309	1.1794	1.2887	1.2311	1.6057	1.5633	1.6648	1.6031
a/swine/alberta/sd0038/2014	1.3294	1.3115	1.4489	1.3507	1.4246	1.3739	1.4558	1.4096
a/swine/alberta/sd0049/2014	1.1913	1.1197	1.3165	1.2092	1.2207	1.1414	1.2898	1.2077
a/swine/saskatchewan/sd0059/2014	1.8579	1.7472	1.9525	1.8409	1.6567	1.6427	1.5092	1.5965
a/swine/saskatchewan/sd0065/2014	1.7566	1.75	1.764	1.7563	1.5491	1.5058	1.4282	1.4899
a/swine/saskatchewan/sd0069/2015	1.5522	1.6701	1.64	1.6208	1.4787	1.5427	1.5515	1.5214
a/swine/denmark/15164-1-p1/2014	1.1496	1.1693	1.31	1.1823	1.3065	1.3596	1.4043	1.3483
a/swine/mexico/8630565/2011	1.0655	1.036	1.0308	1.0441	1.1422	1.1315	1.1256	1.1257
a/swine/mexico/8630459/2011	1.1467	1.2264	1.2141	1.1957	1.2935	1.3997	1.3516	1.345
a/swine/mexico/9890611/2013	1.756	1.6771	1.5088	1.6473	1.6767	1.7538	1.6616	1.6902
a/swine/mexico/84706352130/2015	1.0958	1.1623	1.0514	1.1032	0.9306	1.1193	1.0211	1.0148
a/swine/mexico/985778/2013	1.1716	1.2019	1.098	1.1489	1.1978	1.2595	1.0762	1.1698
a/swine/mexico/avx36/2012	1.4782	1.4289	1.3129	1.4067	1.7032	1.683	1.6133	1.6625
a/swine/mexico/avx57/2013	1.5765	1.5385	1.4858	1.5336	1.4869	1.4645	1.3554	1.4307
