,a/wuhan/359/1995,a/sydney/5/1997,a/moscow/10/1999,a/fujian/411/2002,a/wisconsin/67/2005,a/brisbane/10/2007,a/perth/16/2009,a/victoria/361/2011,a/swine/texas/4199-1/1998,a/swine/colorado/23619/1999,a/swine/minnesota/1146/2006,a/swine/iowa/1700/2007,a/swine/minnesota/2782/2009,a/swine/illinois/02970/2009,a/indiana/8/2011,a/swine/newyork/a01104005/2011,a/swine/indiana/a00968373/2012,a/swine/indiana/a01202866/2011,a/swine/illinois/a01201606/2011,a/swine/iowa/a01202613/2011,a/swine/iowa/a01049750/2011,a/swine/texas/a01049914/2011,a/swine/michigan/a01432375/2013,a/swine/iowa/a01432500/2013,a/swine/minnesota/a01432544/2013,a/swine/minnesota/a01280592/2013,a/turkey/ohio/313053/2004,a/swine/iowa/a01480656/2014,a/swine/wyoming/a01444562/2013,a/swine/pennsylvania/a01076777/2010,a/swine/missouri/a01410819/2014
a/wuhan/359/1995,0,4.2,6.6,7.5,7.6,8.1,8.3,8,2.3,-1,-1,3.8,4.8,-1,6.3,4.7,6.4,6.1,4.6,5.5,3.7,3.3,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/sydney/5/1997,0.2,0,2.3,2.2,8.1,6.8,9.9,-1,5.8,-1,-1,4.8,4.6,-1,7.7,-1,9.5,-1,-1,7.2,7.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/moscow/10/1999,4.6,2.9,0,2.2,5.6,5.3,8.8,-1,4.7,-1,-1,4.8,4.1,-1,7.7,7.5,-1,9.1,-1,7.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.7
a/fujian/411/2002,4.4,-1,4,0,2.9,1.6,4.5,4.1,8.9,-1,-1,-1,9.4,-1,-1,-1,8.4,-1,-1,7.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3
a/wisconsin/67/2005,0.6,-1,3,2,0,0.4,2.2,1.6,-1,-1,-1,8.7,8.8,-1,-1,-1,-1,-1,-1,8.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
a/brisbane/10/2007,3,-1,6,4.7,2,0,4.8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/perth/16/2009,3.8,-1,7.6,7.2,4.3,0.6,0,0.3,-1,-1,-1,8.2,-1,-1,7.7,2.6,3,-1,5.2,4.3,1.5,6.9,-1,-1,-1,-1,-1,-1,-1,-1,5
a/victoria/361/2011,4.7,-1,-1,8.3,4.5,1.6,1.4,0,-1,-1,-1,-1,-1,-1,-1,2.2,4,-1,5.2,5.7,2.8,-1,-1,-1,5.4,5,-1,-1,-1,-1,4
a/swine/texas/4199-1/1998,0.5,5.7,5.8,-1,9.7,8.7,9.9,-1,0,-1,-1,4.5,3.8,6.2,7.7,4.3,8.4,6.9,-1,5.9,3.7,3.2,-1,-1,-1,-1,-1,-1,-1,-1,9.7
a/swine/colorado/23619/1999,3.4,3.5,3.6,1,7,5,-1,-1,4,-1,-1,2.7,3.6,6.2,-1,6.4,7.4,6.9,-1,3.5,5,4.2,-1,-1,-1,6.6,-1,-1,-1,-1,1.6
a/swine/minnesota/1146/2006,6.4,-1,6,-1,-1,-1,8.8,-1,6.6,-1,-1,1.6,1.4,2.6,4.2,1.7,3.1,6.8,5,2.7,2.2,1.8,-1,5,5.9,5.6,-1,4.5,-1,-1,9.7
a/swine/iowa/1700/2007,6,-1,8.7,-1,-1,-1,-1,-1,6.2,-1,-1,0,1.3,1.2,4.3,2.1,4.2,7,-1,3,2.9,3.5,-1,-1,-1,-1,-1,-1,-1,-1,9.7
