,A/WUHAN/359/1995,A/WUHAN/359/1995,A/SYDNEY/5/1997,A/SYDNEY/5/1997,A/MOSCOW/10/1999,A/MOSCOW/10/1999,A/FUJIAN/411/2002,A/FUJIAN/411/2002,A/WISCONSIN/67/2005,A/WISCONSIN/67/2005,A/BRISBANE/10/2007,A/BRISBANE/10/2007,A/PERTH/16/2009,A/PERTH/16/2009,A/VICTORIA/361/2011,A/VICTORIA/361/2011,A/SWINE/TEXAS/4199-1/1998,A/SWINE/TEXAS/4199-1/1998,A/SWINE/COLORADO/23619/1999,A/SWINE/COLORADO/23619/1999,A/SWINE/MINNESOTA/1146/2006,A/SWINE/MINNESOTA/1146/2006,A/SWINE/IOWA/1700/2007,A/SWINE/IOWA/1700/2007,A/SWINE/MINNESOTA/2782/2009,A/SWINE/MINNESOTA/2782/2009,A/SWINE/ILLINOIS/2970/2009,A/SWINE/ILLINOIS/2970/2009,A/INDIANA/8/2011,A/INDIANA/8/2011,A/SWINE/NEWYORK/A01104005/2011,A/SWINE/NEWYORK/A01104005/2011,A/SWINE/INDIANA/A00968373/2012,A/SWINE/INDIANA/A00968373/2012,A/SWINE/INDIANA/A01202866/2011,A/SWINE/INDIANA/A01202866/2011,A/SWINE/ILLINOIS/A01201606/2011,A/SWINE/ILLINOIS/A01201606/2011,A/SWINE/IOWA/A01202613/2011,A/SWINE/IOWA/A01202613/2011,A/SWINE/IOWA/A01049750/2011,A/SWINE/IOWA/A01049750/2011,A/SWINE/TEXAS/A01049914/2011,A/SWINE/TEXAS/A01049914/2011,A/SWINE/MICHIGAN/A01432375/2013,A/SWINE/MICHIGAN/A01432375/2013,A/SWINE/IOWA/A01432500/2013,A/SWINE/IOWA/A01432500/2013,A/SWINE/MINNESOTA/A01432544/2013,A/SWINE/MINNESOTA/A01432544/2013,A/SWINE/MINNESOTA/A01280592/2013,A/SWINE/MINNESOTA/A01280592/2013,A/TURKEY/OHIO/313053/2004,A/TURKEY/OHIO/313053/2004,A/SWINE/IOWA/A01480656/2014,A/SWINE/IOWA/A01480656/2014,A/SWINE/WYOMING/A01444562/2013,A/SWINE/WYOMING/A01444562/2013,A/SWINE/PENNSYLVANIA/A01076777/2010,A/SWINE/PENNSYLVANIA/A01076777/2010,A/SWINE/MISSOURI/A01410819/2014,A/SWINE/MISSOURI/A01410819/2014
A/WUHAN/359/1995,320,905,160,40,20,20,14,14,20,20,14,14,14,14,20,20,640,640,80,80,160,160,226,160,226,80,<10,<20,10,14,40,20,20,57,28,80,10,10,40,80,40,57,57,57,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/SYDNEY/5/1997,160,905,1810,1810,453,320,453,640,14,14,57,14,<20,10,<10,<10,57,57,1280,1280,640,320,160,40,320,40,<10,<10,<10,10,<10,<20,10,<10,<10,<10,<10,<10,10,28,10,<10,<10,<20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/MOSCOW/10/1999,10,40,320,160,2560,1280,640,453,80,80,160,40,<20,20,<10,<20,160,80,1280,1280,1280,640,160,40,453,57,<10,<10,<20,10,<10,10,<10,<20,<20,14,<10,<10,<10,40,<10,<10,<10,<10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<10,10
A/FUJIAN/411/2002,20,40,<10,<10,160,80,2560,2560,905,160,1280,1280,160,226,269,320,<10,14,1810,1810,57,20,<20,<20,14,<20,<10,<10,<10,<10,<10,<10,<20,20,<20,<20,<10,<10,14,20,<10,<10,<10,<10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1280,5120
A/WISCONSIN/67/2005,160,640,<10,<10,320,160,640,640,5120,2560,5120,5120,640,1280,1280,2153,<20,<10,640,905,80,14,14,<20,10,10,<10,<10,<20,<20,<10,<10,<10,<20,<20,<20,<10,<20,<20,20,<10,<10,<10,<10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,320,640
A/BRISBANE/10/2007,40,113,<10,<10,40,20,113,80,1280,640,5120,2560,160,160,320,320,<10,<10,80,80,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/PERTH/16/2009,10,80,<10,<10,10,10,14,20,160,226,2560,2560,5120,3620,4305,4305,<10,<20,28,28,57,160,20,<10,<20,<10,<10,<10,<20,10,113,160,160,640,<10,<10,<10,14,57,226,453,<10,<10,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,80,160
A/VICTORIA/361/2011,<20,48,<10,<10,<20,<20,<20,17,160,190,1076,1522,1076,2153,5120,5120,<10,<10,57,113,24,67,<20,<10,<10,<10,<10,<10,<20,<20,135,226,135,269,<10,<10,14,<20,24,80,190,<10,<10,<20,<10,<10,<20,<10,160,80,80,160,*,*,*,*,*,*,10,10,160,320
A/SWINE/TEXAS/4199/1/1998,226,640,57,14,28,40,<20,<10,10,<20,20,<10,<20,10,<10,<10,3620,2560,80,113,80,113,160,80,320,320,<10,10,<10,10,40,40,<10,20,20,40,<10,<20,80,14,40,57,40,80,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<10,10
A/SWINE/COLORADO/23619/1999,50,63,320,*,*,320,1280,1280,40,20,160,80,<20,*,<10,<20,226,160,*,*,254,806,640,202,403,320,<10,10,<20,<20,20,*,<20,40,63,*,<10,<20,320,160,<20,40,40,20,*,*,*,*,*,*,40,40,*,*,*,*,*,*,10,10,1280,1280
