"","matrix.nrow...nrow.hiData..","A.WUHAN.359.1995","A.SYDNEY.5.1997","A.MOSCOW.10.1999","A.FUJIAN.411.2002","A.WISCONSIN.67.2005","A.BRISBANE.10.2007","A.PERTH.16.2009","A.VICTORIA.361.2011","A.SWINE.TEXAS.4199.1.1998","A.SWINE.COLORADO.23619.1999","A.SWINE.MINNESOTA.1146.2006","A.SWINE.IOWA.1700.2007","A.SWINE.MINNESOTA.2782.2009","A.SWINE.ILLINOIS.2970.2009","A.INDIANA.8.2011","A.SWINE.NEWYORK.A01104005.2011","A.SWINE.INDIANA.A00968373.2012","A.SWINE.INDIANA.A01202866.2011","A.SWINE.ILLINOIS.A01201606.2011","A.SWINE.IOWA.A01202613.2011","A.SWINE.IOWA.A01049750.2011","A.SWINE.TEXAS.A01049914.2011","A.SWINE.MICHIGAN.A01432375.2013","A.SWINE.IOWA.A01432500.2013","A.SWINE.MINNESOTA.A01432544.2013","A.SWINE.MINNESOTA.A01280592.2013","A.TURKEY.OHIO.313053.2004","A.SWINE.IOWA.A01480656.2014","A.SWINE.WYOMING.A01444562.2013","A.SWINE.PENNSYLVANIA.A01076777.2010","A.SWINE.MISSOURI.A01410819.2014"
"1","A/WUHAN/359/1995",0,4.17791779219584,6.58496250072116,7.51457317282976,7.58496250072116,8.09953567355091,8.28606264233036,8,2.27146302790437,NA,NA,3.81427944542364,4.83602972169531,NA,6.32192809488736,4.74774543291945,6.37706964907982,6.0668864798071,4.58496250072116,5.4998458870832,3.72201525270023,3.26118767150716,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A/SYDNEY/5/1997",0.201928318776732,0,2.31256599168367,2.22785040921546,8.09953567355091,6.75714347610384,9.92349256294565,NA,5.760501108627,NA,NA,4.762880292917,4.60156446805829,NA,7.73696559416621,NA,9.47393118833241,NA,NA,7.15880896924814,7.15200309344505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","A/MOSCOW/10/1999",4.61470984411521,2.91488338636205,0,2.22785040921546,5.58496250072116,5.26303440583379,8.84549005094438,NA,4.68650052718322,NA,NA,4.762880292917,4.0990641275291,NA,7.73696559416621,7.48471102708566,NA,9.12133426382947,NA,7.12133426382947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.73696559416621
"4","A/FUJIAN/411/2002",4.35167543828141,NA,4,0,2.85025288049532,1.58496250072116,4.50096052711988,4.1198042710569,8.89295140465064,NA,NA,NA,9.39297784624687,NA,NA,NA,8.39592867633114,NA,NA,7.31927364144138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.263034405833793
"5","A/WISCONSIN/67/2005",0.614709844115207,NA,3,2,0,-0.415037499278844,2.18652696877944,1.57667395293011,NA,NA,NA,8.70629676455063,8.7714894695006,NA,NA,NA,NA,NA,NA,8.15880896924814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"6","A/BRISBANE/10/2007",3.00117819119728,NA,6,4.72947105761928,2,0,4.7714894695006,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","A/PERTH/16/2009",3.76671293756026,NA,7.58496250072116,7.23446525363702,4.31443355834044,0.584962500721156,0,0.250130572603155,NA,NA,NA,8.15880896924814,NA,NA,7.73696559416621,2.56187888760812,3,NA,5.20645087746743,4.26207823985984,1.50174913247217,6.92415268422959,NA,NA,NA,NA,NA,NA,NA,NA,5
"8","A/VICTORIA/361/2011",4.7039771822123,NA,NA,8.32192809488736,4.45567948377619,1.56370488016064,1.43654583877398,0,NA,NA,NA,NA,NA,NA,NA,2.1587810016408,3.98564470702293,NA,5.20645087746743,5.70629676455063,2.75968567066629,NA,NA,NA,5.41503749927884,5,NA,NA,NA,NA,4
"9","A/SWINE/TEXAS/4199/1/1998",0.500342819163208,5.67202686246589,5.81942775435818,NA,9.73696559416621,8.65896308216493,9.92349256294565,NA,0,NA,NA,4.4998458870832,3.7714894695006,6.15200309344505,7.73696559416621,4.3327079336406,8.39592867633114,6.91488338636205,NA,5.85214763101409,3.72201525270023,3.18718709006339,NA,NA,NA,NA,NA,NA,NA,NA,9.73696559416621
"10","A/SWINE/COLORADO/23619/1999",3.43838707147474,3.5043613682057,3.58947798184365,1,7,5,NA,NA,4.00093408552366,NA,NA,2.68906005962533,3.59556572743684,6.15200309344505,NA,6.40670851508438,7.35845397091248,6.86757767158369,NA,3.4998458870832,5.03652587602511,4.18718709006339,NA,NA,NA,6.58496250072116,NA,NA,NA,NA,1.58496250072116
